namespace	name	subClassOf	type	version	url
bioschemas	Course	schema:Course	Profile	0.10-DRAFT	https://github.com/BioSchemas/specifications/blob/master/Course/jsonld/Course_v0.10-DRAFT.json
bioschemas	CourseInstance	schema:CourseInstance	Profile	0.9-DRAFT	https://github.com/BioSchemas/specifications/blob/master/CourseInstance/jsonld/CourseInstance_v0.9-DRAFT.json
bioschemasdrafts	Gene	schema:Gene	Profile	1.1-DRAFT	https://github.com/BioSchemas/specifications/blob/master/Gene/jsonld/Gene_v1.1-DRAFT.json
bioschemas	TrainingMaterial	schema:LearningResource	Profile	1.1-DRAFT	https://github.com/Bioschemas/specifications/tree/master/TrainingMaterial/jsonld/TrainingMaterial_v1.1-DRAFT.json
bioschemas	ChemicalSubstance	schema:ChemicalSubstance	Profile	0.5-DRAFT	https://github.com/BioSchemas/specifications/tree/master/ChemicalSubstance/jsonld/ChemicalSubstance_v0.5-DRAFT.json
bioschemas	ComputationalTool	schema:SoftwareApplication	Profile	1.1-DRAFT	https://github.com/BioSchemas/specifications/tree/master/ComputationalTool/jsonld/ComputationalTool_v1.1-DRAFT.json
bh2022GH	ComputationalWorkflow	bioschemastypes:ComputationalWorkflow	Profile	1.1-DRAFT	https://github.com/BioSchemas/specifications/tree/master/ComputationalWorkflow/jsonld/ComputationalWorkflow_v1.1-DRAFT.json
bioschemas	DataCatalog	schema:DataCatalog	Profile	0.4-DRAFT	https://github.com/BioSchemas/specifications/tree/master/DataCatalog/jsonld/DataCatalog_v0.4-DRAFT.json
bioschemas	Dataset	schema:Dataset	Profile	1.1-DRAFT	https://github.com/BioSchemas/specifications/tree/master/Dataset/jsonld/Dataset_v1.1-DRAFT.json
bioschemasdrafts	Disease	schema:MedicalCondition	Profile	0.2-DRAFT	https://github.com/BioSchemas/specifications/tree/master/Disease/jsonld/Disease_v0.2-DRAFT.json
bioschemas	Event	schema:Event	Profile	0.3-DRAFT	https://github.com/BioSchemas/specifications/tree/master/Event/jsonld/Event_v0.3-DRAFT.json
bioschemas	FormalParameter	bioschemastypes:FormalParameter	Profile	1.1-DRAFT	https://github.com/BioSchemas/specifications/tree/master/FormalParameter/jsonld/FormalParameter_v1.1-DRAFT.json
bioschemas	Journal	schema:CreativeWorkSeries	Profile	0.3-DRAFT	https://github.com/BioSchemas/specifications/tree/master/Journal/jsonld/Journal_v0.3-DRAFT.json
bioschemas	LabProtocol	bioschemastypes:LabProtocol	Profile	0.7-DRAFT	https://github.com/BioSchemas/specifications/tree/master/LabProtocol/jsonld/LabProtocol_v0.7-DRAFT.json
bioschemas	MolecularEntity	schema:MolecularEntity	Profile	0.7-DRAFT	https://github.com/BioSchemas/specifications/tree/master/MolecularEntity/jsonld/MolecularEntity_v0.7-DRAFT.json
bioschemas	Organization	schema:Organization	Profile	0.3-DRAFT	https://github.com/BioSchemas/specifications/tree/master/Organization/jsonld/Organization_v0.3-DRAFT.json
bioschemas	Person	schema:Person	Profile	0.3-DRAFT	https://github.com/BioSchemas/specifications/tree/master/Person/jsonld/Person_v0.3-DRAFT.json
bioschemas	Phenotype	bioschemastypes:Phenotype	Profile	0.2-DRAFT	https://github.com/BioSchemas/specifications/tree/master/Phenotype/jsonld/Phenotype_v0.2-DRAFT.json
bioschemasdrafts	Protein	schema:Protein	Profile	0.12-DRAFT	https://github.com/BioSchemas/specifications/tree/master/Protein/jsonld/Protein_v0.12-DRAFT.json
bioschemasdrafts	ProteinStructure	schema:BioChemEntity	Profile	0.6-DRAFT	https://github.com/BioSchemas/specifications/tree/master/ProteinStructure/jsonld/ProteinStructure_v0.6-DRAFT.json
bioschemas	PublicationIssue	schema:PublicationIssue	Profile	0.3-DRAFT	https://github.com/BioSchemas/specifications/tree/master/PublicationIssue/jsonld/PublicationIssue_v0.3-DRAFT.json
bioschemas	PublicationVolume	schema:PublicationVolume	Profile	0.3-DRAFT	https://github.com/BioSchemas/specifications/tree/master/PublicationVolume/jsonld/PublicationVolume_v0.3-DRAFT.json
bioschemas	RNA	bioschemastypes:RNA	Profile	0.2-DRAFT	https://github.com/BioSchemas/specifications/tree/master/RNA/jsonld/RNA_v0.2-DRAFT.json
bioschemas	ScholarlyArticle	schema:ScholarlyArticle	Profile	0.3-DRAFT	https://github.com/BioSchemas/specifications/tree/master/ScholarlyArticle/jsonld/ScholarlyArticle_v0.3-DRAFT.json
bioschemas	SemanticTextAnnotation	schema:CreativeWork	Profile	0.3-DRAFT	https://github.com/BioSchemas/specifications/tree/master/SemanticTextAnnotation/jsonld/SemanticTextAnnotation_v0.3-DRAFT.json
bioschemas	SequenceAnnotation	bioschemastypes:SequenceAnnotation	Profile	0.7-DRAFT	https://github.com/BioSchemas/specifications/tree/master/SequenceAnnotation/jsonld/SequenceAnnotation_v0.7-DRAFT.json
bioschemas	SequenceRange	bioschemastypes:SequenceStructure	Profile	0.2-DRAFT	https://github.com/BioSchemas/specifications/tree/master/SequenceRange/jsonld/SequenceRange_v0.2-DRAFT.json
bioschemas	Study	bioschemastypes:Study	Profile	0.3-DRAFT	https://github.com/BioSchemas/specifications/tree/master/Study/jsonld/Study_v0.3-DRAFT.json
bioschemasdrafts	Taxon	schema:Taxon	Profile	0.8-DRAFT	https://github.com/BioSchemas/specifications/tree/master/Taxon/jsonld/Taxon_v0.8-DRAFT.json
bioschemas	TaxonName	bioschemastypes:TaxonName	Profile	0.2-DRAFT	https://github.com/BioSchemas/specifications/tree/master/TaxonName/jsonld/TaxonName_v0.2-DRAFT.json
